FIGF,LYVE1,CD300LG,SCARA5,PAMR1,SDPR,MYOM1,BTNL9,KCNIP2,SLC2A4,PDE2A,LEP,ACVR1C,ABCA10,AQP7,GPR146,ATP1A2,FXYD1,ARHGAP20,NPR1,ATOH8,ABCA9,ALDH1L1,ADAMTS5,RDH5,GPAM,CA4,KLHL29,GPIHBP1,LOC728264,MAMDC2,TMEM132C,ITIH5,HSPB7,HSPB6,DMD,SPRY2,IGFBP6,CXCL2,EBF1,KLB,CLEC3B,TMEM220,IBSP,HIF3A,IGSF10,CIDEC,C2orf40,LEPR,ANGPTL1,class
544.127,1360.9524,602.8571,882.2222,2508.8889,1425.0794,195.2381,717.7778,283.8095,68.8889,658.4127,987.3016,57.7778,164.127,213.9683,262.5397,123.1746,302.5397,110.4762,807.9365,628.254,396.1905,175.873,1400.9524,217.2603,1293.3333,70.1587,505.3968,383.8095,4158.4127,1114.4444,194.9206,2855.2381,288.8889,2822.2222,1161.2698,1142.5397,1773.3333,617.7778,538.7302,80.6349,2584.127,211.746,2.2222,70.4762,644.7619,716.1905,1760.3175,770.9333,230.7937,N
846.2623,3508.7917,1736.9064,2060.7428,1572.1674,4267.795,460.7428,2261.9652,2579.7837,400.1881,1729.008,16210.6253,761.26,244.0997,2694.4993,900.7992,1587.212,782.3225,278.7024,3299.2948,1084.7203,1042.5952,1243.0654,1906.1589,1804.976,8317.8185,754.1138,509.2619,1598.4955,1922.708,717.1641,1130.2304,13662.8115,5728.6319,9107.2873,1048.237,1176.1166,6479.7367,248.9892,1916.3141,1270.898,6389.0926,352.4213,0,374.236,435.543,7336.771,225.2938,1397.3785,459.2384,N
741.3442,3423.1161,4074.3381,6321.7923,675.1527,7398.6762,2019.8574,4518.3299,8273.9308,1040.224,2649.1853,37746.4358,3481.6701,244.3992,9354.888,1536.1507,5110.998,742.8717,759.165,5919.5519,1054.4807,2514.7658,1870.6721,2656.8228,3389.8371,42443.9919,1114.5621,588.0855,1929.2261,418.5336,938.2943,3162.9328,30184.8269,10879.8371,20623.7271,3536.6599,1567.7189,3161.4053,386.4562,4590.6314,3139.002,6565.6823,312.6273,0,653.2587,1254.5825,15562.9633,207.7393,1645.2037,1347.7597,N
905.1546,9641.2371,2786.5979,10177.3196,1591.7526,3809.7938,966.4948,2610.3093,5992.7835,958.7629,2597.9381,7954.1237,2986.0825,321.134,3496.9072,1191.7526,4108.2474,588.1443,816.4948,4698.4536,1208.7629,2755.1546,3053.0928,8410.8247,2129.8969,22096.3918,428.866,592.7835,775.7732,455.6701,2045.2062,2252.0619,9205.1546,5174.7423,14653.6082,2420.6186,1173.1959,5676.2887,63.4021,3756.701,1383.5052,7955.6701,202.5773,0,354.6392,1019.5876,12504.7113,224.7423,2484.2216,596.3918,N
1093.868,4783.3549,2650.7514,3507.0129,1523.2185,5314.6761,1707.1561,2827.3706,5088.7792,1287.5636,2153.5831,28808.9305,2052.1002,271.2715,4275.9406,1051.9087,1224.1368,667.9328,1170.468,3651.9187,788.4436,853.3341,1800.3447,3519.6983,2639.5298,51813.8229,656.2232,644.0257,1169.0043,529.3696,912.8333,1305.1279,15925.9761,5655.2291,14374.9474,2742.9642,1301.7126,1690.5676,342.0167,3006.9172,4086.1482,6804.7175,296.6422,0,283.9568,1367.5789,13990.4835,157.1033,1857.0726,677.6907,N
913.3363,3324.652,2725.6399,1906.6008,2103.727,6595.4198,724.2928,2493.04,6469.2411,792.097,1814.5487,13086.6637,1602.6044,528.9627,4052.9861,889.5375,573.8662,724.2928,1705.8824,3189.4926,1246.52,1022.9008,885.9452,3348.0018,1780.8621,23591.8276,722.9457,713.965,918.2757,2588.6843,974.3556,1524.4724,11991.9174,3330.0404,10604.4005,2626.4032,2016.6143,1788.9537,814.0997,2040.8621,2154.0189,3478.2218,298.159,0,310.7319,1704.9843,7711.2708,414.9079,2087.7863,550.0674,N
879.2192,5640.9109,4499.39,2383.0826,431.4762,5041.8869,1236.2749,8577.4705,17898.3327,5302.1553,3653.9244,9546.157,15144.7743,810.4921,10596.9906,2326.9622,8090.2806,893.046,619.7641,4840.1789,665.3111,3270.8418,5938.1863,2944.693,4117.2875,54779.1785,618.5441,255.3884,1023.5868,1431.0695,742.5661,4751.525,11651.4843,783.6519,28013.4201,4721.0248,1925.1728,616.1041,263.5218,4691.3379,4052.4603,2138.2676,458.3164,0.4067,1084.1806,2507.1167,27852.7857,447.3363,3448.2635,866.6124,N
1888.1832,3894.8028,783.6121,4011.45,3031.3982,1935.4146,264.7822,995.7957,603.6318,301.637,1246.2653,151.3552,1173.6291,517.3987,557.4738,426.514,264.4244,1287.0561,323.1058,1399.0518,465.5157,3228.5535,455.8547,3399.9463,216.0408,2738.7065,124.877,467.6626,312.7292,2004.1149,1412.9314,473.3876,3224.6176,124.877,4984.7035,2802.3974,1771.1781,4265.4978,389.6592,1619.4651,277.6635,3075.0514,308.0776,0,405.0452,2306.8253,1558.6367,504.1596,2333.0244,941.408,N
960.0799,3049.5239,1181.3823,4120.255,3467.7736,3732.0737,592.0442,1162.74,1413.5094,292.2636,1714.7934,3936.8386,681.9484,275.8463,1279.4049,693.9757,449.22,912.2713,379.7623,2129.7356,1001.8748,1528.0695,438.6961,2882.645,621.9742,6420.7784,242.9516,644.6637,764.6361,780.873,1690.9403,787.7887,6083.7131,1539.1947,5129.0455,1910.5379,2084.9338,5346.1384,232.127,1788.7614,502.1401,5801.6727,257.6851,0,290.4595,1218.0656,4054.1048,779.3696,3207.0276,644.6637,N
1434.9708,623.7303,465.0032,925.2558,618.9796,1171.4504,102.2783,476.4606,51.6981,51.9775,689.6802,49.7419,28.2244,238.37,52.8159,213.7785,710.9184,253.1808,289.7887,721.8169,117.9275,464.7238,43.8735,1123.944,32.947,663.1326,41.6379,304.0406,297.8927,1175.9216,778.2348,193.3787,1467.1075,45.8296,1082.5856,1531.6602,1301.9531,719.3018,233.0605,625.1275,18.7231,358.2537,172.979,1.6767,103.1167,1003.5015,56.4487,614.7879,732.6511,428.9543,N
422.1044,1194.1272,536.7047,822.186,1928.2219,939.6411,180.261,445.3507,1089.7227,159.4617,619.0865,2553.8336,148.0424,150.0816,1252.0392,498.7765,374.7961,1081.5661,95.0245,948.6134,382.137,274.062,683.9315,804.2414,985.2243,2050.9788,207.5856,774.8777,683.9315,2258.5644,572.9323,331.1582,2216.1501,1587.6835,4202.2838,757.3409,1095.4323,4762.6427,364.1925,395.1876,150.0816,4813.6215,272.0228,0.4078,155.7912,221.8597,3560.1264,1103.1811,660.7912,244.6982,N
284.8773,245.6814,983.5337,511.9709,571.7749,1295.0803,231.9426,1249.0151,397.2118,106.2734,864.3297,975.8561,193.5549,231.9426,259.4201,335.7915,289.7262,208.91,189.11,627.5381,238.812,357.2078,209.3141,1838.9736,151.9669,2160.2182,138.1958,658.6524,617.4361,2631.3769,704.2893,172.9468,1685.4228,374.9874,973.0276,2166.2794,1254.6722,413.3751,263.461,510.3546,162.4407,371.7547,217.7998,0,177.7957,605.3137,691.1688,1025.5581,733.468,83.6448,N
800,1668.2609,1615.2174,1634.7826,1784.7826,6399.1304,573.913,1473.4783,1830.4348,395.2174,1744.7826,7009.1304,1089.5652,561.7391,1332.1739,651.3043,647.3913,659.1304,406.9565,2096.9565,775.6522,1113.0435,540.4348,2299.1304,857.4913,7691.7391,423.913,556.087,929.1304,1509.5652,1048.9348,754.3478,6322.6087,1647.8261,5626.087,1388.2609,2080.4348,3452.6087,343.4783,1998.6957,926.9565,2959.5652,269.5652,0,210.4348,821.3043,3075.2174,748.2609,2809.3304,484.7826,N
1025.6801,830.298,1103.4062,1266.1739,1533.186,2476.5679,178.6177,833.6508,31.7001,39.6251,587.3657,9.7539,24.6895,495.6184,53.0367,229.8255,300.8458,259.0871,401.1278,556.5801,205.136,914.4251,62.7905,2863.9793,35.6595,586.7561,155.7571,839.1374,297.7978,3262.3638,1198.101,295.6641,2348.5484,35.053,729.1016,2602.4537,1522.8225,703.8025,390.1547,828.1643,8.5346,934.5424,194.4677,2.1337,134.4205,1598.1102,12.802,1059.5138,1147.9784,353.2729,N
395.3628,815.8008,1114.298,921.9407,1181.623,2367.7115,420.7815,1579.3903,951.1378,343.4951,1090.5968,2506.4835,690.7686,338.8132,803.435,496.6939,622.7565,338.3426,308.4586,1217.3465,359.2958,712.0653,309.1456,1448.1752,288.3847,7880.1202,295.4058,437.6127,607.9863,2145.1267,666.5144,436.5822,2460.7986,660.8845,2448.7763,1822.5848,983.4264,730.614,637.8703,1074.796,527.2649,705.8824,236.6681,0,216.4019,990.2963,1774.152,730.614,1705.8617,375.0966,N
626.0832,2250.8666,4291.5945,3492.6343,355.7192,10493.0676,2346.1872,4457.539,11867.851,3676.3432,2144.2808,46038.9948,7402.0797,193.8388,10390.8146,1783.7955,2848.3536,752.5997,722.2704,9271.2305,1425.4766,1670.2773,7207.539,2006.0659,3554.636,86428.0763,1082.7556,298.0936,1353.5529,441.9411,571.9151,4086.2218,19599.2201,7193.2409,29604.8527,3249.5667,1871.7504,1980.0693,766.8977,5639.5147,4575.3899,5321.9237,376.0832,0.4333,459.2721,814.5581,30230.9359,257.799,1183.7652,1486.5685,N
318.9469,209.3224,309.8835,312.9046,915.4079,2025.0324,188.1744,406.9918,247.3025,131.2041,484.2469,651.2732,266.7242,298.2305,154.5101,220.9754,494.6051,138.9728,291.7566,432.4558,279.672,404.4022,108.7613,2772.1191,107.0091,2220.9754,36.6854,670.2633,175.2266,4024.6008,1105.71,146.7415,1819.5943,284.8511,681.4847,2820.8891,1316.3574,422.5291,741.9076,486.4048,115.2352,315.4942,283.1247,0,109.1929,640.4834,395.7704,685.8006,786.4048,157.5313,N
685.6734,3824.4065,4910.4139,2620.5416,582.6077,6431.1106,3308.1236,5291.1845,9144.6976,3022.7842,2668.2572,28530.5976,6100.9185,350.7098,6033.6395,2405.3441,3840.1527,825.9573,1258.2608,9193.8447,767.7442,2091.3754,5897.65,3197.4234,3318.8071,52918.5256,1266.3724,555.4098,1393.7731,1727.3053,751.4875,3703.2089,14487.8922,8932.8403,22323.7504,5312.1794,1272.0983,1402.3619,322.0804,4799.7137,3840.1527,3820.5893,415.1258,0,400.334,1057.8552,22883.2924,511.5114,1445.3346,997.2564,N
887.4019,2088.1403,1163.3595,1781.2644,1475.3115,3006.922,664.0517,963.0826,1284.264,614.6747,1110.2907,5485.4638,1284.7254,348.4079,1187.3558,488.2326,745.27,695.4315,332.2566,1785.8791,408.3987,1482.695,670.5122,2736.0406,823.3364,18886.9405,263.9594,586.0637,393.1703,3645.593,857.365,677.8957,4797.8772,2016.6128,3720.8122,2217.3512,1920.1661,1209.5062,118.5971,1508.0757,993.5395,1773.8809,256.5759,1.3844,335.4868,1832.4873,4336.2621,929.3955,2323.7287,356.2529,N
201.5504,2326.4934,1003.648,2177.8386,2100.7752,2637.9389,256.7259,1160.0547,1356.1332,189.2385,1125.855,9464.2043,275.4218,139.0789,538.0757,361.1491,536.2517,485.1801,423.6206,1277.7018,421.3406,1134.0629,464.2043,1520.7478,639.6762,5679.8906,264.0219,618.787,644.3228,1365.7091,1145.8413,363.4291,6175.5586,2176.4706,4037.3917,1949.3844,1093.4793,3110.8071,1141.3589,847.6972,390.7889,4691.2905,284.0857,0,175.1026,818.0575,3413.5887,315.5495,2577.0315,736.4341,N
998.366,1391.3399,454.2484,696.0784,2146.6503,1217.7288,142.9739,288.3987,104.5752,101.3072,673.6111,188.7255,38.3987,254.4935,42.4837,175.6536,154.0033,308.0065,571.0784,546.1601,111.1111,771.2418,46.9771,2003.6765,50.3636,1037.5817,35.1307,533.9052,324.7549,1511.4379,1284.5466,287.9902,2957.1078,107.0261,1236.5196,2611.1111,1498.7745,972.2222,387.6634,588.2353,58.415,893.7908,219.3627,0,101.7157,1993.0556,146.6136,857.0261,755.7394,518.3824,N
59.8661,29.5115,648.8305,227.6598,3271.556,1548.5084,267.2895,557.345,378.1683,172.8528,464.5947,541.3245,192.6677,28.2467,269.8191,268.5543,696.4704,181.2847,349.0784,517.2937,322.5181,57.3365,279.0941,2381.9963,199.8347,1721.3612,131.9584,1173.7129,330.9499,2848.699,982.622,122.2618,2295.9915,306.4976,1244.962,2645.4915,1277.4246,670.7533,250.8474,311.1351,121.8402,424.5434,243.6803,0,109.614,123.1049,1225.1471,1854.1628,407.7767,50.1695,N
449.329,379.5836,504.7025,1051.6749,623.4809,2583.9586,141.6041,653.0699,571.9117,319.1377,627.7079,678.4318,908.38,195.2869,484.413,248.9697,982.3523,286.1672,236.7114,870.7598,396.9143,606.573,318.715,2058.5438,194.4584,3784.8462,142.0268,745.2182,155.5532,1512.4168,1165.3514,444.2566,1933.8476,97.2208,2431.787,2294.4098,1639.2265,658.1422,438.3388,708.4434,177.5336,453.556,212.1949,2.1135,199.9366,1034.3443,1282.8913,1168.7625,1083.4873,323.7874,N
268.6986,74.0149,1003.5859,259.9291,1891.7646,3083.3694,271.8557,699.8091,726.8193,283.0807,546.8684,2656.4683,367.9698,149.4329,626.145,313.9494,395.6815,270.1018,246.2486,874.1475,423.3933,356.394,338.1534,2482.4807,465.7151,4379.8578,193.6314,658.4169,339.5565,2536.501,913.3614,276.7666,2349.5345,813.1115,2009.978,2166.0757,1496.0831,573.8785,338.8549,555.2871,260.6307,599.1348,333.2424,0,118.5641,237.1283,1894.9216,902.21,682.2946,191.8775,N
